"","unsexed.year","unsexed.month","unsexed.fleet","unsexed.sex","unsexed.partition","unsexed.input_n","unsexed.L10","unsexed.L12","unsexed.L14","unsexed.L16","unsexed.L18","unsexed.L20","unsexed.L22","unsexed.L24","unsexed.L26","unsexed.L28","unsexed.L30","unsexed.L32","unsexed.L34","unsexed.L36","unsexed.L38","unsexed.L40","unsexed.L42","unsexed.L44","unsexed.L46","unsexed.L48","unsexed.L50","unsexed.L52","unsexed.L54","unsexed.L56","unsexed.L58","unsexed.L60","unsexed.L62","unsexed.L64","unsexed.L66","unsexed.L68","unsexed.L70","unsexed.L72","unsexed.L74"
"1",2004,7,1,0,0,17,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3,3,0,2,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0
"2",2005,7,1,0,0,60,0,0,0,0,0,1,0,0,1,1,0,3,3,4,7,5,6,9,7,3,4,1,2,2,0,0,1,0,0,0,0,0,0
"3",2006,7,1,0,0,95,0,0,0,0,0,0,0,0,0,3,3,3,6,7,3,5,10,10,14,16,2,7,2,2,1,0,0,1,0,0,0,0,0
"4",2007,7,1,0,0,57,0,0,0,0,0,0,1,0,0,0,1,3,3,8,3,8,10,9,2,2,2,2,1,1,0,1,0,0,0,0,0,0,0
"5",2008,7,1,0,0,31,0,0,0,1,0,0,0,0,0,0,0,2,4,1,1,4,3,5,3,3,1,1,0,1,0,1,0,0,0,0,0,0,0
"6",2009,7,1,0,0,58,0,0,0,1,0,0,1,0,1,0,3,2,6,3,5,5,5,5,4,5,2,3,3,2,1,1,0,0,0,0,0,0,0
"7",2010,7,1,0,0,22,0,0,0,1,0,0,0,0,0,3,0,1,1,1,1,2,2,3,2,3,0,1,0,0,0,0,0,0,0,1,0,0,0
"8",2011,7,1,0,0,23,0,0,0,0,0,0,1,0,1,2,2,2,2,1,3,1,0,2,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0
"9",2012,7,1,0,0,26,0,0,0,0,0,0,0,1,1,3,0,0,3,1,3,3,1,2,2,0,1,1,2,0,2,0,0,0,0,0,0,0,0
"10",2013,7,1,0,0,17,0,0,0,0,3,0,0,0,0,0,0,1,0,3,0,0,2,0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0
"11",2014,7,1,0,0,24,0,0,0,0,0,1,0,0,0,0,1,1,1,4,4,3,1,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"12",2015,7,1,0,0,42,0,0,0,0,1,2,1,5,1,0,1,1,0,2,0,2,5,4,5,2,0,6,1,1,1,0,1,0,0,0,0,0,0
"13",2016,7,1,0,0,36,0,0,0,0,0,0,1,4,0,3,1,3,5,2,1,1,1,2,1,5,4,1,0,1,0,0,0,0,0,0,0,0,0
"14",2017,7,1,0,0,112,0,0,0,0,0,0,2,7,7,4,7,11,5,6,3,7,7,7,5,5,10,4,4,5,4,1,1,0,0,0,0,0,0
"15",2018,7,1,0,0,115,0,0,0,0,0,1,1,1,3,13,8,6,9,10,11,7,1,5,6,5,7,7,7,4,3,0,0,0,0,0,0,0,0
"16",2019,7,1,0,0,127,0,0,0,0,1,2,3,2,3,1,11,11,12,12,14,10,14,5,6,4,5,5,3,1,1,1,0,0,0,0,0,0,0
"17",2020,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",2021,7,1,0,0,84,0,0,0,1,0,0,1,0,2,5,5,8,6,3,8,13,8,6,6,1,3,1,3,2,0,2,0,0,0,0,0,0,0
"19",2022,7,1,0,0,86,0,0,0,0,0,2,4,1,3,6,4,5,10,5,7,12,7,4,6,4,1,2,2,0,0,1,0,0,0,0,0,0,0
"20",2023,7,1,0,0,166,0,0,0,0,0,0,3,3,1,2,3,7,1,11,15,17,16,14,8,9,12,14,5,9,4,3,5,3,0,1,0,0,0
"21",2024,7,1,0,0,61,0,0,0,0,0,0,1,1,1,1,4,3,2,8,5,5,7,3,3,4,1,1,5,2,1,2,1,0,0,0,0,0,0
