"year","sex_grouped","n_tows","n","n_stewart_hamel","input_n"
2003,"all",19,68,46,19
2003,"unsexed",19,68,46,19
2004,"all",8,21,19,8
2004,"unsexed",8,21,19,8
2005,"all",13,40,31,13
2005,"unsexed",13,40,31,13
2006,"all",13,43,31,13
2006,"unsexed",13,43,31,13
2007,"all",12,26,29,12
2007,"unsexed",12,26,29,12
2008,"all",15,43,36,15
2008,"unsexed",15,43,36,15
2009,"all",11,39,26,11
2009,"unsexed",11,39,26,11
2010,"all",15,52,36,15
2010,"unsexed",15,52,36,15
2011,"all",13,47,31,13
2011,"unsexed",13,47,31,13
2012,"all",14,44,34,14
2012,"unsexed",14,44,34,14
2013,"all",13,37,31,13
2013,"unsexed",13,37,31,13
2014,"all",19,92,46,19
2014,"unsexed",19,92,46,19
2015,"all",13,51,31,13
2015,"unsexed",13,51,31,13
2016,"all",25,91,60,25
2016,"unsexed",25,91,60,25
2017,"all",19,45,46,19
2017,"unsexed",19,45,46,19
2018,"all",24,50,58,24
2018,"unsexed",24,50,58,24
2019,"all",9,34,21,9
2019,"unsexed",9,34,21,9
2021,"all",20,66,48,20
2021,"unsexed",20,66,48,20
2022,"all",18,51,43,18
2022,"unsexed",18,51,43,18
2023,"all",14,53,34,14
2023,"unsexed",14,53,34,14
2024,"all",22,56,53,22
2024,"unsexed",22,56,53,22
