"year","month","fleet","sex","partition","ageerr","Lbin_lo","Lbin_hi","input_n","u0","u1","u2","u3","u4","u5","u6","u7","u8","u9","u10","u11","u12","u13","u14","u15","u16","u17","u18","u19","u20","u21","u22","u23","u24","u25","u26","u27","u28","u29","u30","u31","u32","u33","u34","u35","u36","u37","u38","u39","u40","u41","u42","u43","u44","u45","u46","u47","u48","u49","u50","u51","u52","u53","u54","u55","u56","u57","u58","u59","u60","u61","u62","u63","u64","u65"
2003,7,11,0,0,"Enter Numeric",-1,-1,43,0,0,0,0,0,0,0,1,1,6,6,2,4,8,2,2,1,3,5,4,1,3,1,2,1,1,0,0,0,0,1,2,0,0,1,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2004,7,11,0,0,"Enter Numeric",-1,-1,19,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,3,1,1,0,2,0,0,0,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,7,11,0,0,"Enter Numeric",-1,-1,31,0,0,0,1,0,0,0,2,0,0,1,2,10,4,3,0,1,4,0,2,0,2,2,1,2,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,7,11,0,0,"Enter Numeric",-1,-1,31,0,0,0,0,0,1,0,1,0,0,2,0,1,6,1,3,0,5,0,2,1,2,2,1,2,2,2,1,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2007,7,11,0,0,"Enter Numeric",-1,-1,19,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,2,0,1,1,2,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,7,11,0,0,"Enter Numeric",-1,-1,36,0,0,0,0,0,0,0,2,0,3,3,0,1,0,3,2,1,2,0,0,0,3,0,1,1,2,2,1,3,1,1,2,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
2009,7,11,0,0,"Enter Numeric",-1,-1,26,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,3,2,1,1,2,1,1,1,2,2,2,3,2,1,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
2010,7,11,0,0,"Enter Numeric",-1,-1,36,0,0,0,1,1,2,0,0,4,1,1,3,1,2,1,2,2,6,1,2,1,2,1,1,2,2,2,0,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2011,7,11,0,0,"Enter Numeric",-1,-1,31,0,0,1,1,0,2,0,0,4,0,2,3,1,2,1,0,2,2,3,0,4,1,1,1,0,4,1,4,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2012,7,11,0,0,"Enter Numeric",-1,-1,34,0,0,0,0,3,1,3,1,3,4,2,0,0,1,1,0,0,0,1,2,1,2,2,0,1,1,2,2,1,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2013,7,11,0,0,"Enter Numeric",-1,-1,29,0,0,0,0,0,0,1,2,0,2,1,2,2,1,0,2,3,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,2,0,2,1,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2014,7,11,0,0,"Enter Numeric",-1,-1,46,0,0,0,0,0,1,3,2,1,2,4,3,2,2,1,2,3,0,0,2,3,5,4,2,1,3,3,1,3,1,5,7,4,2,2,0,2,2,0,1,0,1,3,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2015,7,11,0,0,"Enter Numeric",-1,-1,31,0,0,0,0,2,0,4,2,4,2,0,0,1,3,1,1,0,3,0,1,0,3,2,2,1,0,2,2,0,0,0,0,3,2,4,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016,7,11,0,0,"Enter Numeric",-1,-1,60,0,0,0,1,2,7,14,12,8,7,5,3,0,0,4,1,3,5,0,3,2,0,1,1,1,0,0,0,0,1,0,2,2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
