"","year","month","fleet","sex","partition","input_n","L10","L12","L14","L16","L18","L20","L22","L24","L26","L28","L30","L32","L34","L36","L38","L40","L42","L44","L46","L48","L50","L52","L54","L56","L58","L60","L62","L64","L66","L68","L70","L72","L74"
"1",2004,7,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",2005,7,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3",2008,7,8,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",2009,7,8,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,2,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"5",2010,7,8,0,0,10,0,0,0,1,0,0,0,0,0,3,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",2011,7,8,0,0,13,0,0,0,0,0,0,1,0,1,1,2,0,1,0,0,1,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"7",2012,7,8,0,0,11,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"8",2013,7,8,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
"9",2014,7,8,0,0,10,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",2015,7,8,0,0,14,0,0,0,0,0,2,1,2,1,0,1,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"11",2016,7,8,0,0,17,0,0,0,0,0,0,0,3,0,3,0,1,2,2,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"12",2017,7,8,0,0,41,0,0,0,0,0,0,1,3,2,4,4,3,3,2,1,2,2,0,2,0,3,0,2,2,4,1,0,0,0,0,0,0,0
"13",2018,7,8,0,0,44,0,0,0,0,0,1,0,0,3,2,3,1,4,3,3,3,0,0,1,1,3,5,6,3,2,0,0,0,0,0,0,0,0
"14",2019,7,8,0,0,49,0,0,0,0,0,2,3,1,2,0,5,3,4,4,5,3,6,4,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0
"15",2021,7,8,0,0,15,0,0,0,1,0,0,1,0,1,0,0,1,2,0,1,3,0,1,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0
"16",2022,7,8,0,0,8,0,0,0,0,0,2,2,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",2023,7,8,0,0,86,0,0,0,0,0,0,2,2,0,2,2,4,0,3,2,6,11,6,2,7,6,9,3,7,1,3,5,2,0,1,0,0,0
"18",2024,7,8,0,0,38,0,0,0,0,0,0,1,0,1,1,3,0,1,3,4,0,4,3,2,1,1,0,6,1,1,2,2,1,0,0,0,0,0
